symbol	date	error_type	error_code
QRB	2020-01-31	response error	503
@R#	2020-01-31	response error	503
@RMF#	2020-01-31	response error	503
S#C	2020-01-31	response error	503
@SMP#	2020-01-31	response error	503
SPI#C	2020-01-31	response error	503
@TFS#	2020-01-31	response error	503
QTT#C	2020-01-31	response error	503
TW#C	2020-01-31	response error	503
LHW#C	2020-01-31	response error	503
@UB#	2020-01-31	no data	
IHO#C	2020-01-31	response error	503
IRB#C	2020-01-31	response error	503
QW#C	2020-01-31	response error	503
@YM#	2020-01-31	response error	500
@YT#	2020-01-31	response error	503
@C	2020-01-31	response error	503
@3N#	2020-01-31	low data size	
LF#C	2020-01-31	response error	503
@BS#	2020-01-31	response error	503
10YCMRY.X	2020-01-31	response error	503
20YCMRY.X	2020-01-31	response error	503
30YCMRY.X	2020-01-31	response error	503
3EC.X	2020-01-31	no data	
3XEC.X	2020-01-31	no data	
3XUK.X	2020-01-31	no data	
4EU5.X	2020-01-31	no data	
4GEU.X	2020-01-31	no data	
4GGL.X	2020-01-31	no data	
4GL1.X	2020-01-31	no data	
4GUK.X	2020-01-31	no data	
4GUS.X	2020-01-31	no data	
4UK5.X	2020-01-31	no data	
4US1.X	2020-01-31	no data	
5YCMRY.X	2020-01-31	response error	503
7YCMRY.X	2020-01-31	response error	503
AA	2020-01-31	no data	
AA07.X	2020-01-31	no data	
AAAIF	2020-01-31	no data	
AAALF	2020-01-31	low data size	
AAALY	2020-01-31	no data	
AAARF	2020-01-31	low data size	
AAC	2020-01-31	no data	
AACAF	2020-01-31	low data size	
AACAY	2020-01-31	low data size	
AACTF	2020-01-31	no data	
AAEEF	2020-01-31	no data	
AAGC	2020-01-31	no data	
AAGEF	2020-01-31	no data	
AAGH	2020-01-31	no data	
AAGIY	2020-01-31	no data	
AAGRY	2020-01-31	no data	
AAHIF	2020-01-31	response error	500
AAIGF	2020-01-31	no data	
AAINF	2020-01-31	no data	
AALBF	2020-01-31	no data	
AAMAF	2020-01-31	no data	
AAMMF	2020-01-31	no data	
AANC	2020-01-31	response error	503
AANNF	2020-01-31	low data size	
AANR	2020-01-31	no data	
AAOMF	2020-01-31	response error	503
AAPH	2020-01-31	no data	
AASL	2020-01-31	low data size	
AAST	2020-01-31	no data	
AASZF	2020-01-31	no data	
AAT	2020-01-31	no data	
